"","name.x","corr","weighted","description"
"1","sex",-0.000778906370011212,"unweighted","New-born sex = Female"
"2","married",-0.0759781021111954,"unweighted","Married"
"3","mage",-0.0748772489708473,"unweighted","Mother's age"
"4","cigdpp",0.0100614152617463,"unweighted","# of daily cigarettes smoking before pregnancy"
"5","cigddp",0.0181384278278483,"unweighted","# of daily cigarettes smoking during pregnancy"
"6","clinega",0.0157111056629612,"unweighted","Clinical gestational age"
"7","pncgov",0.0922459175452805,"unweighted","Government support for prenatal care"
"8","rf_db_gest",-0.00497526304301522,"unweighted","Gestational diabetes"
"9","rf_db_other",0.00587596723601372,"unweighted","Maternal diabetes"
"10","rf_hbp_chronic",0.00137656972572955,"unweighted","Maternal chronic high blood pressure"
"11","rf_hbp_pregn",-0.00392135963228982,"unweighted","Maternal high blood pressure during pregnancy"
"12","rf_cervix",0.00251336676870406,"unweighted","Maternal incompetent cervix"
"13","rf_prev_4kg",-0.00337757150223942,"unweighted","Mother with previous infant over 4000 g"
"14","rf_prev_sga",0.00101679395209201,"unweighted","Mother with previous small-for-gestational-age infant"
"15","firstborn",0.030791247634684,"unweighted","First-born child"
"16","log_mhincome",-0.19858227346823,"unweighted","Log. median household income (census-tract level)"
"17","log_mhvalue",-0.0872141893938693,"unweighted","Log. median value of house (census-tract level)"
"18","percentPoverty",0.186220734430794,"unweighted","% Poverty (census-tract level)"
"19","mrace_1",-0.112065953653982,"unweighted","Maternal race = white"
"20","mrace_2",0.0353791187950432,"unweighted","Maternal race = black"
"21","mrace_3",0.0391582378489292,"unweighted","Maternal race = Asian/Pacific Islander"
"22","mrace_4",0.0951284528033054,"unweighted","Maternal race = others"
"23","bc_30d",0.851398967845112,"unweighted","Average of daily BC exposure over 0-30 days prior to the delivery date"
"24","bc_90280d",0.859018573691605,"unweighted","Average of daily BC exposure over 91-280 days prior to the delivery date"
"25","sex",0.00219194795697187,"weighted","New-born sex = Female"
"26","married",-0.0575708289433956,"weighted","Married"
"27","mage",-0.0658027218571164,"weighted","Mother's age"
"28","cigdpp",0.0116681151345028,"weighted","# of daily cigarettes smoking before pregnancy"
"29","cigddp",0.0154830313843502,"weighted","# of daily cigarettes smoking during pregnancy"
"30","clinega",0.0128047847825592,"weighted","Clinical gestational age"
"31","pncgov",0.0619339115016473,"weighted","Government support for prenatal care"
"32","rf_db_gest",-0.00645879013047593,"weighted","Gestational diabetes"
"33","rf_db_other",-0.00152783569871539,"weighted","Maternal diabetes"
"34","rf_hbp_chronic",-0.0014058414313476,"weighted","Maternal chronic high blood pressure"
"35","rf_hbp_pregn",-0.00152158208541757,"weighted","Maternal high blood pressure during pregnancy"
"36","rf_cervix",-0.00612599024922968,"weighted","Maternal incompetent cervix"
"37","rf_prev_4kg",-0.00265797783639392,"weighted","Mother with previous infant over 4000 g"
"38","rf_prev_sga",0.00439248253254845,"weighted","Mother with previous small-for-gestational-age infant"
"39","firstborn",0.0169871407482149,"weighted","First-born child"
"40","log_mhincome",-0.133210089384014,"weighted","Log. median household income (census-tract level)"
"41","log_mhvalue",-0.096305727415354,"weighted","Log. median value of house (census-tract level)"
"42","percentPoverty",0.107015567645893,"weighted","% Poverty (census-tract level)"
"43","mrace_1",-0.0602714525464688,"weighted","Maternal race = white"
"44","mrace_2",0.0183201088254657,"weighted","Maternal race = black"
"45","mrace_3",0.0105991331800081,"weighted","Maternal race = Asian/Pacific Islander"
"46","mrace_4",0.060192387698153,"weighted","Maternal race = others"
"47","bc_30d",0.483543544956294,"weighted","Average of daily BC exposure over 0-30 days prior to the delivery date"
"48","bc_90280d",0.529879187748558,"weighted","Average of daily BC exposure over 91-280 days prior to the delivery date"
