"","name.x","corr","weighted","description"
"1","sex",-0.000778906413917865,"unweighted","Newborn sex = female"
"2","married",-0.0759781020655419,"unweighted","Married"
"3","mage",-0.074877246841153,"unweighted","Mother's age"
"4","cigdpp",0.0100614152420623,"unweighted","# of daily cigarettes smoking before pregnancy"
"5","cigddp",0.0181384278100131,"unweighted","# of daily cigarettes smoking during pregnancy"
"6","clinega",0.0157111056006392,"unweighted","Clinical gestational age (weeks)"
"7","pncgov",0.0922459173105264,"unweighted","Has government support for prenatal care"
"8","rf_db_gest",-0.00497526271058229,"unweighted","Gestational diabetes"
"9","rf_db_other",0.00587596691806818,"unweighted","Maternal diabetes"
"10","rf_hbp_chronic",0.00137656963489546,"unweighted","Maternal chronic high blood pressure"
"11","rf_hbp_pregn",-0.00392135952546937,"unweighted","Maternal high blood pressure during pregnancy"
"12","rf_cervix",0.00251336671363562,"unweighted","Maternal incompetent cervix"
"13","rf_prev_4kg",-0.00337757118636687,"unweighted","Mother with previous infant over 4000 g"
"14","rf_prev_sga",0.00101679367352601,"unweighted","Mother with previous small-for-gestational-age infant"
"15","firstborn",0.0307912477068256,"unweighted","First born child"
"16","log_mhincome",-0.198582280309579,"unweighted","Log. median household income (census-tract level)"
"17","log_mhvalue",-0.0872142300402186,"unweighted","Log. median value of house (census-tract level)"
"18","percentPoverty",0.186220733423498,"unweighted","% Poverty (census-tract level)"
"19","mrace_1",-0.112065953763011,"unweighted","Maternal race = white"
"20","mrace_2",0.0353791191689219,"unweighted","Maternal race = black"
"21","mrace_3",0.0391582372714009,"unweighted","Maternal race = Asian/Pacific Islander"
"22","mrace_4",0.0951284531208783,"unweighted","Maternal race = others"
"23","bc_30d",0.851398967385502,"unweighted","Average of daily BC exposure over 0-30 days prior to the delivery date"
"24","bc_90280d",0.859018573767089,"unweighted","Average of daily BC exposure over 91-280 days prior to the delivery date"
"25","sex",0.00236985874162127,"weighted","Newborn sex = female"
"26","married",-0.0575883991213239,"weighted","Married"
"27","mage",-0.0661709660981279,"weighted","Mother's age"
"28","cigdpp",0.0119951862556759,"weighted","# of daily cigarettes smoking before pregnancy"
"29","cigddp",0.0160042867320972,"weighted","# of daily cigarettes smoking during pregnancy"
"30","clinega",0.012931835949318,"weighted","Clinical gestational age (weeks)"
"31","pncgov",0.0626883945600826,"weighted","Has government support for prenatal care"
"32","rf_db_gest",-0.00597996958940539,"weighted","Gestational diabetes"
"33","rf_db_other",-0.00168950428981279,"weighted","Maternal diabetes"
"34","rf_hbp_chronic",-0.000820675335637561,"weighted","Maternal chronic high blood pressure"
"35","rf_hbp_pregn",-0.00104894849316999,"weighted","Maternal high blood pressure during pregnancy"
"36","rf_cervix",-0.00657470008260992,"weighted","Maternal incompetent cervix"
"37","rf_prev_4kg",-0.00298282281510281,"weighted","Mother with previous infant over 4000 g"
"38","rf_prev_sga",0.00469780130370108,"weighted","Mother with previous small-for-gestational-age infant"
"39","firstborn",0.0171414857020303,"weighted","First born child"
"40","log_mhincome",-0.133873973476651,"weighted","Log. median household income (census-tract level)"
"41","log_mhvalue",-0.096308512755374,"weighted","Log. median value of house (census-tract level)"
"42","percentPoverty",0.108096132885419,"weighted","% Poverty (census-tract level)"
"43","mrace_1",-0.0605182560150528,"weighted","Maternal race = white"
"44","mrace_2",0.0182232925689424,"weighted","Maternal race = black"
"45","mrace_3",0.0107722555627944,"weighted","Maternal race = Asian/Pacific Islander"
"46","mrace_4",0.0604373589833738,"weighted","Maternal race = others"
"47","bc_30d",0.482121530863221,"weighted","Average of daily BC exposure over 0-30 days prior to the delivery date"
"48","bc_90280d",0.528950572617397,"weighted","Average of daily BC exposure over 91-280 days prior to the delivery date"
